"Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"Minisytravon-Counterscreen-washed.58","NCGC00116189-01","activity-counterscreen","null",4.000,-3.353,"O=C(n1c(NCc2sccc2)nc(-c2occc2)n1)c1cc(OC)c(OC)cc1"
"Minisytravon-Counterscreen-washed.59","NCGC00112431-01","activity-counterscreen","15.848932",2.400,30.057,"FC(F)(F)c1cc(NC(=O)CN2C(=O)CC(c3occc3)Sc3c2cccc3)ccc1"
"Minisytravon-Counterscreen-washed.60","NCGC00110839-01","activity-counterscreen","null",4.000,5.659,"Clc1nc2c(c3sc(C(=O)NCCCN(Cc4ccccc4)C)cc13)cc(C)cc2"
"Minisytravon-Counterscreen-washed.61","NCGC00139656-01","activity-counterscreen","null",4.000,6.556,"Clc1c(CS(=O)(=O)CC2C(=O)Nc3c(N2)ccc(C(=O)NCCCOCC)c3)ccc(F)c1"
"Minisytravon-Counterscreen-washed.62","NCGC00129415-01","activity-counterscreen","null",4.000,14.687,"Clc1c(-c2oc(C(N3CCN(c4ccc(OC)cc4)CC3)c3ccccc3)nn2)cccc1"
"Minisytravon-Counterscreen-washed.63","NCGC00139954-01","activity-counterscreen","null",4.000,16.366,"Clc1c(CC2=C(C)n3nc(SCC(=O)NCCc4ccc(Cl)cc4)nc3N=C2C)cccc1"
"Minisytravon-Counterscreen-washed.64","NCGC00101472-02","activity-counterscreen","null",4.000,-11.774,"S(CCC(=O)Nc1c(O)ccc(C)c1)c1nc(C(F)(F)F)cc(-c2ccc(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.65","NCGC00105416-01","activity-counterscreen","null",4.000,1.480,"Clc1ccc(-c2c(C)sc(C=3C(=O)NC4=C(C(=O)CC(c5ccccc5)C4)C=3)n2)cc1"
"Minisytravon-Counterscreen-washed.66","NCGC00118418-01","activity-counterscreen","null",4.000,-4.763,"Clc1c(C)ccc(NC(=O)CCCc2onc(-c3occc3)n2)c1"
"Minisytravon-Counterscreen-washed.67","NCGC00141172-02","activity-counterscreen","null",4.000,-0.489,"Clc1ccc(C=2Nc3n(C(c4ccccc4)C=2)nc(NS(=O)(=O)c2ccc(NC(=O)C)cc2)n3)cc1"
"Minisytravon-Counterscreen-washed.68","NCGC00115376-01","activity-counterscreen","null",4.000,23.154,"Clc1ccc(OCC(=O)Nc2cc3nc(CCNC(=O)c4occc4)n(C)c3cc2)cc1"
"Minisytravon-Counterscreen-washed.69","NCGC00108680-01","activity-counterscreen","null",4.000,6.891,"O=C(NCCCN(CC)Cc1ccccc1)c1sc-2c(C(=O)N(C)c3c-2cccc3)c1"
"Minisytravon-Counterscreen-washed.70","NCGC00137652-01","activity-counterscreen","null",4.000,3.162,"O=C(NCCC)CN1CCN(c2c(C(=O)O)cc(NC(=O)c3ccc(OC)cc3)cc2)CC1"
"Minisytravon-Counterscreen-washed.71","NCGC00123301-01","activity-counterscreen","null",4.000,-0.376,"S(Cc1ccc(C(F)(F)F)cc1)c1c2c(n(CC(=O)N3CCOCC3)c1)cccc2"
"Minisytravon-Counterscreen-washed.72","NCGC00118396-01","activity-counterscreen","null",4.000,5.761,"O=C(Nc1c(OC)cc(OC)cc1)CCCc1onc(-c2occc2)n1"
"Minisytravon-Counterscreen-washed.73","NCGC00136112-01","activity-counterscreen","null",4.000,9.658,"S(=O)(=O)(C(CNC(=O)C(=O)NCCc1c(OC)cccc1)c1occc1)c1ccc(C)cc1"
"Minisytravon-Counterscreen-washed.74","NCGC00099741-01","activity-counterscreen","null",4.000,-13.928,"Clc1c(C)cc(OCC(O)CN2CCN(c3cc(Cl)ccc3)CC2)cc1"
"Minisytravon-Counterscreen-washed.75","NCGC00136458-03","activity-counterscreen","null",4.000,11.883,"S(CC(=O)Nc1c(-c2sc3c(n2)cccc3)c2c(s1)CN(C)CC2)c1ccc(F)cc1"
"Minisytravon-Counterscreen-washed.76","NCGC00134057-01","activity-counterscreen","null",4.000,-5.996,"S(=O)(=O)(N1CCCC1)c1cc2sc(NC(=O)c3cc(N(C)C)ccc3)nc2cc1"
"Minisytravon-Counterscreen-washed.77","NCGC00117374-01","activity-counterscreen","null",4.000,-16.749,"O=C(Nc1ccc(CC)cc1)C(C)N1C(=O)c2c(sc(-c3ccccc3)c2)N=N1"
"Minisytravon-Counterscreen-washed.78","NCGC00115382-01","activity-counterscreen","null",4.000,-3.008,"O(C)c1ccc(C2N(Cc3occc3)C(=O)c3[nH]nc(-c4c(O)cccc4)c23)cc1"
"Minisytravon-Counterscreen-washed.79","NCGC00104263-01","activity-counterscreen","null",4.000,7.380,"S(c1c(OC(=O)C(C)C)n(-c2ccccc2)nc1C)c1ccccc1"
"Minisytravon-Counterscreen-washed.80","NCGC00105476-01","activity-counterscreen","null",4.000,18.035,"Clc1cc(-c2onc(C(=O)Nc3c(C#N)c(CC)c(C)s3)c2)ccc1"
"Minisytravon-Counterscreen-washed.81","NCGC00141938-01","activity-counterscreen","null",4.000,2.296,"Brc1ccc(S(=O)(=O)Nc2c3c(c4oc(C)c(C(=O)C)c4c2)cccc3)cc1"
"Minisytravon-Counterscreen-washed.82","NCGC00107426-01","activity-counterscreen","null",4.000,26.814,"Clc1c(C(=O)Nc2c(N3CCC(C(=O)OCC)CC3)cc3N(C)C(=O)N(C)c3c2)cccc1"
"Minisytravon-Counterscreen-washed.83","NCGC00102659-01","activity-counterscreen","null",4.000,14.183,"ClC(F)(F)Oc1ccc(N(C(=O)c2nn3C(C(F)(F)F)=CC(c4occc4)=Nc3c2)C)cc1"
"Minisytravon-Counterscreen-washed.84","NCGC00125858-01","activity-counterscreen","null",4.000,0.106,"O=C(Nc1c(C)cc(C)cc1C)C1CCN(c2nnc(C)c3c(C)n(-c4ccccc4)nc23)CC1"
"Minisytravon-Counterscreen-washed.85","NCGC00100451-01","activity-counterscreen","null",4.000,26.591,"O(C)c1ccc(CNCCC(c2cc3OCOc3cc2)c2ccccc2)cc1"
"Minisytravon-Counterscreen-washed.86","NCGC00114733-01","activity-counterscreen","null",4.000,6.720,"Clc1c(C)cc(OCCn2c(CCNC(=O)C3CCCCC3)nc3c2cccc3)cc1"
"Minisytravon-Counterscreen-washed.87","NCGC00117038-01","activity-counterscreen","null",4.000,2.899,"Clc1c(C)c(-c2oc(CNCCSc3n(-c4ccccc4)nnn3)cc2)ccc1"
"Minisytravon-Counterscreen-washed.88","NCGC00137640-01","activity-counterscreen","null",4.000,3.673,"Clc1ccc(OCCN2CCN(c3c(C(=O)O)cc(NC(=O)c4ccc(F)cc4)cc3)CC2)cc1"
"Minisytravon-Counterscreen-washed.89","NCGC00112437-01","activity-counterscreen","null",4.000,2.249,"O=C(Nc1c(C(=O)OCC)cccc1)CN1C(=O)CC(c2occc2)Sc2c1cccc2"
"Minisytravon-Counterscreen-washed.90","NCGC00140403-01","activity-counterscreen","null",4.000,6.903,"O=C(Nc1ccc(N(C)C)cc1)CN1C(=O)c2c(Sc3c1cc(C(=O)N1CCCC1)cc3)cccc2"
"Minisytravon-Counterscreen-washed.91","NCGC00121534-01","activity-counterscreen","null",4.000,4.203,"O=C(OCC)c1cc(NC(=O)c2c(C)c3-c4nn(CC)cc4CCc3o2)ccc1"
"Minisytravon-Counterscreen-washed.92","NCGC00118473-01","activity-counterscreen","null",4.000,16.935,"O=C(Nc1cc2nc(CN3CCN(C(=O)OCC)CC3)n(C(C)C)c2cc1)C"
"Minisytravon-Counterscreen-washed.93","NCGC00100313-01","activity-counterscreen","null",4.000,-17.934,"S(=O)(=O)(Nc1cc(C)ccc1)c1cc2c(N[C@](c3ccc(F)cc3)[C@]3[C@@]2C=CC3)cc1"
"Minisytravon-Counterscreen-washed.94","NCGC00109122-01","activity-counterscreen","null",4.000,-3.525,"S(=O)(=O)(N(C)C1CCCCC1)c1cc2C(=O)C(C(=O)N3CCN(c4c(F)cccc4)CC3)=CN(CC)c2cc1"
"Minisytravon-Counterscreen-washed.95","NCGC00103824-01","activity-counterscreen","null",4.000,9.817,"Clc1cc(C(=O)Nc2cc3c(C)cc(N4CCN(CC)CC4)nc3cc2)c(OC)cc1"
"Minisytravon-Counterscreen-washed.96","NCGC00109585-01","activity-counterscreen","0.199526",1.400,24.852,"S(=O)(CC(=O)NCc1c(OC)cccc1)Cc1c(C)oc(-c2cc(OC)c(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.97","NCGC00100714-01","activity-counterscreen","null",4.000,15.706,"O=C(Nc1ccc(OC)cc1)c1c(N)c2c(-c3ccc(OC)cc3)c3C(=O)CC(C)(C)Cc3nc2s1"
"Minisytravon-Counterscreen-washed.98","NCGC00122022-01","activity-counterscreen","null",4.000,20.190,"O=C(Nc1c(C)ccc(C)c1)CCN1C(=O)c2c(Sc3ncccc13)cccc2"
"Minisytravon-Counterscreen-washed.99","NCGC00101411-01","activity-counterscreen","null",4.000,9.290,"Brc1ccc(OC2=C(/C=C(\C#N)/c3n(C)c4c(n3)cccc4)C(=O)N3C(C(C)=CC=C3)=N2)cc1"
"Minisytravon-Counterscreen-washed.100","NCGC00119748-01","activity-counterscreen","null",4.000,-0.346,"Clc1ccc(C=2Nc3n(C(c4ccc(F)cc4)C=2)nc(NC(=O)c2occc2)n3)cc1"
