"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00881191-01","activity-counterscreen","null",4.000,-0.828,"FC(F)(C(F)F)COc1ncc(NC2COCC2)cc1"
"NCGC00881548-01","activity-counterscreen","null",4.000,0.237,"Fc1c(-c2oc(C(=O)N3c4c(O)cccc4CCC3)cc2)cccc1"
"NCGC00616893-02","activity-counterscreen","null",4.000,-0.932,"Fc1cc(C(=O)Nc2scc(-c3oc(CNC(=O)C)cc3)n2)ccc1"
"NCGC00607527-02","activity-counterscreen","null",4.000,-1.882,"Fc1cc2c([nH]c3c2CN(C(=O)c2c(OC)cccc2)CC3)cc1"
"NCGC00880631-01","activity-counterscreen","null",4.000,-1.291,"Clc1c(OC)ccc(S(=O)(=O)NC(Cc2occc2)C)c1"
"NCGC00883106-01","activity-counterscreen","null",4.000,-1.289,"Fc1c(Oc2cc(CO)c([N+](=O)[O-])cc2)ncnc1CC"
"NCGC00884200-01","activity-counterscreen","null",4.000,-1.637,"O=C(Nc1c(C)cnc(C)c1)C1C(C)OCCC1"
"NCGC00882944-01","activity-counterscreen","null",4.000,-0.797,"Fc1cc(C(=O)Nc2n(CCO)nc(C)c2)ccc1"
"NCGC00644852-02","activity-counterscreen","null",4.000,4.884,"S(=O)(=O)(Cc1onc(-c2c(OC)cccc2)n1)CC1OCCC1"
"NCGC00880711-01","activity-counterscreen","null",4.000,0.390,"Clc1c(S(=O)(=O)CCN(CC2=Nc3c(C(=O)N2)cccc3)C)cc(Cl)cc1"
"NCGC00880067-01","activity-counterscreen","null",4.000,-0.598,"O=C(CCc1cc(C)ccc1)N1C(C)c2n(ccc2)CC1"
"NCGC00880229-01","activity-counterscreen","null",4.000,-1.981,"Clc1cc(NC2CC(C)(C)OC2)cnc1"
"NCGC00883002-01","activity-counterscreen","18.226768",-2.200,-36.034,"O=C1NC(c2c[nH]nc2)=Nc2sc(C)c(CC)c12"
"NCGC00879001-01","activity-counterscreen","null",4.000,2.119,"S(=O)(=O)(N1Cc2c3c([nH]c2CC1)cccc3)c1c(OC)ccc(OC)c1"
"NCGC00884592-01","activity-counterscreen","null",4.000,-0.565,"S(=O)(=O)(Nc1cc(C(=O)N(Cc2oc(C)c(C(=O)O)c2)C)ccc1)C"
"NCGC00632673-02","activity-counterscreen","null",4.000,-1.121,"Clc1c(-c2oc(CN3C(=O)C=C(C)C=C3)nc2)cccc1"
"NCGC00879536-01","activity-counterscreen","null",4.000,-4.168,"O=C(Nc1c(C)cc(C)cc1)c1cc2NC(=O)C3N(c2cc1)CCC3"
"NCGC00883799-01","activity-counterscreen","null",4.000,1.795,"S(=O)(=O)(NC(=O)CCc1oc(-c2ccc(OC)cc2)cc1)C"
"NCGC00879875-01","activity-counterscreen","null",4.000,1.441,"O=C1NC(CN(C(C)c2ccccc2)C)=Nc2scc(-c3occc3)c12"
"NCGC00881398-01","activity-counterscreen","null",4.000,2.269,"O(C)c1c(CNc2oc(C3OCCC3)nn2)cccc1"
"NCGC00880189-01","activity-counterscreen","null",4.000,-9.880,"O=C(Nc1cc(OC)ccc1)c1cc2NC(=O)CN(C)c2cc1"
"NCGC00883386-01","activity-counterscreen","null",4.000,-2.035,"S(c1n(CC)c(CN)nn1)c1c([N+](=O)[O-])cc(C)cn1"
"NCGC00881812-01","activity-counterscreen","null",4.000,1.587,"O=C(NC)c1ccc(CNc2ncnc3n(CCC#N)ncc23)cc1"
"NCGC00880246-01","activity-counterscreen","null",4.000,-0.428,"O=C(NC(CC)C1OCCC1)NC=1C(=O)N(C)C=CC=1C"
