"Entry ID","Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"62","Minisytravon-Cherrypicks-washed.62","NCGC00127584-01","activity-cherrypicks","14.125375",-2.400,-35.859,"S(=O)(=O)(CCC(=O)N(C)c1cc(C)ccc1)c1cc2OC(=O)N(C)c2cc1"
"63","Minisytravon-Cherrypicks-washed.63","NCGC00100415-01","activity-cherrypicks","25.118864",-2.200,-77.376,"Clc1c(C)c(-n2c(CCC(=O)O)ccc2-c2sccc2)ccc1"
"64","Minisytravon-Cherrypicks-washed.64","NCGC00121676-01","activity-cherrypicks","12.589254",-1.100,-91.311,"FC(F)(F)c1cc(N(C(=O)c2noc3-c4c(OCc23)ccc(C)c4)C)ccc1"
"65","Minisytravon-Cherrypicks-washed.65","NCGC00132313-01","activity-cherrypicks","28.183829",-2.200,-54.104,"O=C(Nc1c(OC)cccc1)C1=C(C)Nc2n(C1c1[nH]ccc1)ncn2"
"66","Minisytravon-Cherrypicks-washed.66","NCGC00126530-01","activity-cherrypicks","null",4.000,1.329,"Clc1c(OC)ccc(Nc2ncnc3onc(C)c23)c1"
"67","Minisytravon-Cherrypicks-washed.67","NCGC00117311-01","activity-cherrypicks","12.589254",-2.400,-24.976,"Brc1c(C(=O)N(Cc2oc(C)cc2)Cc2occc2)cccc1"
"68","Minisytravon-Cherrypicks-washed.68","NCGC00137292-01","activity-cherrypicks","25.118864",-2.200,-72.936,"O=C(C)N1C(c2cc(OC)ccc2)=C(C(=O)C)Sc2n1cnn2"
"69","Minisytravon-Cherrypicks-washed.69","NCGC00118597-01","activity-cherrypicks","25.118864",-2.200,-73.338,"S(=O)(=O)(CC)n1c(NCc2ccc(C(C)C)cc2)nc(-c2occc2)n1"
"70","Minisytravon-Cherrypicks-washed.70","NCGC00111882-01","activity-cherrypicks","null",4.000,-7.162,"Clc1c(NC(=O)c2noc(CN3CCCC3)c2)c(OC)cc(OC)c1"
"71","Minisytravon-Cherrypicks-washed.71","NCGC00137537-01","activity-cherrypicks","null",4.000,-7.786,"S(CC)C=1N(CC)C(=O)c2[nH]c3c(c2N=1)cccc3"
"72","Minisytravon-Cherrypicks-washed.72","NCGC00112632-01","activity-cherrypicks","31.622777",-2.200,-34.266,"FC(F)(F)c1ccc(NC(=O)C(Cc2ccccc2)n2cccc2)cc1"
"73","Minisytravon-Cherrypicks-washed.73","NCGC00141280-01","activity-cherrypicks","12.589254",-2.400,-29.443,"O(CC)c1c(N)cc(-c2oc(CO)cc2)cc1"
"74","Minisytravon-Cherrypicks-washed.74","NCGC00122080-01","activity-cherrypicks","null",4.000,-7.576,"O=C(NCCN(CCCC)CC)CN1C(=O)c2n(-c3c1nccc3)ccc2"
"75","Minisytravon-Cherrypicks-washed.75","NCGC00164813-01","activity-cherrypicks","35.481339",-2.400,-27.977,"O=C(Nc1cc(OC)cc(OC)c1)CC1N(Cc2ccccc2)CCOC1=O"
