"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00397155-01","Activity-cherrypicks","null",4.000,-15.635,"Fc1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00401657-01","Activity-cherrypicks","33.267425",-2.200,-39.353,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C1CC1"
"NCGC00411655-01","Activity-cherrypicks","null",4.000,-4.221,"Fc1c(-c2nc(C(=O)NCC=3C(=O)NC(C)=CC=3C)c3c(n(C)cc3)c2)cccc1"
"NCGC00397184-01","Activity-cherrypicks","11.803728",-2.200,-38.558,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ccc(C#N)cc1)C3)C[C@](O)C2"
"NCGC00397688-01","Activity-cherrypicks","18.226768",-2.200,-54.547,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccc(C(=O)C)cc4)[C@]3OC2)nnn1"
"NCGC00412367-01","Activity-cherrypicks","37.326665",-2.400,-25.851,"O=C(NCc1occc1)Cc1c2c([nH]c1)ncc(-c1c(C)cccc1)c2"
"NCGC00412012-01","Activity-cherrypicks","13.244",-2.100,-92.637,"O(C)c1ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cc1"
"NCGC00416626-01","Activity-cherrypicks","26.425255",-2.200,-41.227,"O=C1c2c(c(-c3cc(CO)ccc3)ncc2)OC(c2cnccc2)=C1"
"NCGC00375524-01","Activity-cherrypicks","null",4.000,5.349,"Clc1ccc(C(=O)N2CCC3(OCCN(C(=O)C)C3)CC2)cc1"
"NCGC00397190-01","Activity-cherrypicks","null",4.000,-10.425,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCC1)C3)C[C@](O)C2"
"NCGC00412149-01","Activity-cherrypicks","29.649624",-2.100,-85.040,"O(C)c1c(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cccc1"
"NCGC00416647-01","Activity-cherrypicks","18.707648",-2.400,-28.735,"O=C1c2c(c(-c3ccc(CO)cc3)ncc2)OC(c2ncccc2)=C1"
"NCGC00416922-01","Activity-cherrypicks","null",4.000,-2.255,"O=C(CN1CCOCC1)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00416566-01","Activity-cherrypicks","null",4.000,-13.476,"O(C)c1cc(OC)cc(CNc2nccc3C(=O)C=C(N4CCOCC4)Oc23)c1"
